484,0
826,0
1,1
8,1
11,1
15,1
18,1
25,1
50,1
60,1
67,1
106,1
137,1
429,1
519,1
791,1
881,1
2,2
3,2
5,2
33,2
77,2
484,2
826,2
2,3
3,3
5,3
33,3
47,3
51,3
77,3
84,3
168,3
7,4
9,4
10,4
12,4
14,4
16,4
17,4
19,4
21,4
22,4
23,4
24,4
26,4
30,4
31,4
51,4
52,4
54,4
56,4
58,4
59,4
65,4
68,4
79,4
94,4
101,4
103,4
105,4
154,4
187,4
247,4
311,4
316,4
629,4
681,4
994,4
999,4
1063,4
1207,4
1242,4
1288,4
2,5
3,5
5,5
84,5
4,7
1,8
8,8
11,8
15,8
18,8
22,8
25,8
29,8
32,8
50,8
67,8
92,8
95,8
141,8
1278,8
4,9
74,9
78,9
331,9
334,9
976,9
979,9
4,10
1,11
8,11
11,11
15,11
18,11
22,11
32,11
50,11
60,11
64,11
71,11
106,11
151,11
221,11
4,12
74,12
78,12
88,12
412,12
898,12
1236,12
4,14
1,15
8,15
11,15
15,15
18,15
22,15
25,15
29,15
53,15
60,15
64,15
106,15
109,15
425,15
434,15
442,15
868,15
876,15
885,15
1246,15
1295,15
1299,15
4,16
85,16
1306,16
4,17
29,17
74,17
78,17
88,17
1232,17
1236,17
1,18
8,18
11,18
15,18
18,18
22,18
25,18
57,18
60,18
71,18
89,18
165,18
517,18
793,18
1145,18
1221,18
1239,18
4,19
4,21
74,21
8,22
11,22
15,22
18,22
22,22
25,22
29,22
32,22
102,22
148,22
472,22
838,22
1162,22
4,23
74,23
78,23
85,23
1236,23
4,24
29,24
193,24
1,25
8,25
15,25
18,25
22,25
25,25
29,25
31,25
32,25
53,25
57,25
71,25
95,25
106,25
141,25
295,25
599,25
711,25
1239,25
1279,25
4,26
74,26
156,26
1154,26
8,29
15,29
17,29
22,29
24,29
25,29
30,29
31,29
52,29
53,29
59,29
66,29
102,29
143,29
148,29
342,29
968,29
1279,29
1286,29
4,30
29,30
4,31
29,31
8,32
11,32
22,32
25,32
32,32
50,32
53,32
57,32
67,32
95,32
137,32
144,32
1173,32
2,33
3,33
85,33
87,33
156,33
1225,33
69,36
585,36
725,36
1241,36
51,39
224,39
1086,39
1259,39
101,43
139,43
1171,43
1209,43
279,44
1031,44
336,46
349,46
961,46
974,46
3,47
86,47
651,47
659,47
85,49
1,50
8,50
11,50
32,50
50,50
57,50
67,50
598,50
712,50
3,51
4,51
51,51
4,52
29,52
193,52
15,53
25,53
29,53
32,53
141,53
1169,53
4,54
78,54
1306,54
4,56
168,56
1142,56
18,57
25,57
32,57
50,57
57,57
221,57
298,57
356,57
954,57
1012,57
4,58
78,58
1232,58
1306,58
4,59
29,59
1,60
11,60
15,60
18,60
113,60
1299,60
74,61
11,64
15,64
102,64
151,64
1295,64
4,65
29,66
197,66
1,67
8,67
32,67
50,67
144,67
1309,67
4,68
78,68
158,68
1152,68
11,71
18,71
25,71
99,71
148,71
476,71
834,71
1292,71
78,73
525,73
785,73
9,74
12,74
17,74
21,74
23,74
26,74
61,74
142,74
75,75
2,77
3,77
168,77
9,78
12,78
17,78
23,78
54,78
58,78
68,78
73,78
1298,78
4,79
332,79
978,79
17,81
30,81
1280,81
1293,81
3,84
5,84
87,84
650,84
660,84
16,85
23,85
49,85
317,85
993,85
47,86
497,86
813,86
33,87
84,87
248,87
12,88
17,88
